idScholar,title,authors,venue,year,ROW_ID
6dUWeRNSehUJ,Experimental Astronomy,"M Barbera, A Collura, A Dara, M Leone, FR Powell,  ",,1996,971
FzQJ4sjA7cYJ,Responding to Journals in a Learning Process,TJ Fenwick,"New Directions for Adult and Continuing Education,",2001,972
kImwyek4LwAJ,Shifting Factors and the Ineffectiveness of Third Party Assurance Seals: A Two-Stage Model of  ,"DH Mcknight, CJ Kacmar, V Choudhury","Electronic Markets,",2004,973
wq4XV72UovkJ,Your wish is my command: Sanction-based obligations in a qualitative decision theory,"G Boella, L van der Torre",Procs. of AAMAS 03,,974
-4LGqwNiCHUJ,The across-breed EPD tables adjusted to a 1994 base,"LD Van Vleck, LV Cundiff","Proc. BIF 28th Res. Symp., Birmingham, AL,",,975
wcAf1m3HRAYJ,Work initiatives for welfare recipients: lessons from a multi-state experiment,JM Gueron,,1986,976
vIVnb1ywtxIJ,Wen mei W. Hwu. Modular interprocedural pointer analysis using access paths,BC Cheng,"Proc. ACM PLDI,",,977
MMQJJCQZ4cwJ,Origin and evolution of Auchenorrhyncha (Homoptera) based upon fossil evidence,DE Shcherbakov,"Proc. 28th Int. Congr. Entomol,",,978
GEjyU8sjNbUJ,Overview of reverse engineering and reuse research,PAV Hall,"Information and Software Technology,",1992,979
U0jWdce8m34J,On power-law relationships of the Internet topology,"C Faloutsous, P Faloutsous, C Faloutsous","Proceedings of ACM SIGCOMM,",,980
2VDywjpBKAcJ,Mitigation of Denial of Service Attacks,J MÌÄå_lsÌÄå_,,,981
4Cca6h2mOLoJ,Patterns of contact and communication in scientific collaboration,"R Kraut, C Egido, J Galegher","Proc ACM CSCW,",,982
6_hn2yDY7a4J,RADIATION HORMESIS,TD LUCKEY,,1991,983
udJWHiL6auAJ,A critical evaluation of the diffusion of cost and management accounting innovations,"D Askarany, M Smith",,,984
Wvs-c5_X1-4J,Distribution of electrons in a substance after thermalization,"AA Vorob'ev, AP Yalovets",At.,,985
AES4p4AylKYJ,Support systems and community mental health,G Caplan,"New York,",,986
M9sKV4kPg9AJ,A query language for a homogeneous temporal database,"SK Gadia, JH Vaishnav","Proceedings of the fourth ACM SIGACT-SIGMOD symposium on  &hellip;,",1985,987
mcvg0-VoKkYJ,A unifying model of physical databases,"DS Batory, CC Gotlieb","ACM Transactions on Database Systems,",1982,988
_CsTI6SYZ_0J,Co-operating mobile agents for distributed parallel processing,"RG Hercock, JC Collis, DT Ndumu","Agents. Washington. Seattle,",,989
suRM3zI6_sUJ,ION CURRENT FLUCTUATIONS IN ARTIFICIAL ION TRACK PORES-POWER SPECTRUM AND GENERALIZED ENTROPY,"A WOLF, Z SIWY, YE KORCHEV, N REBER, R SPOHR","CELLULAR AND MOLECULAR BIOLOGY LETTERS,",1999,990
EAnU3sDkXAwJ,Monomial realization of crystal graphs for Uq (A (1) n),JA Kim,,,991
1J2ubL0l2UMJ,K: A High-Level Knowledge Base Programming Language for Advanced Database Applications,YM Shyy,,,992
81tq2S0IGYcJ,Have you hugged an editor today?,R Raskin,"PC Magazine,",,993
mzFzhewxu1UJ,"Anti-self dual Lagrangians II: Unbounded non self-adjoint operators and evolution equations,(2005)","N Ghoussoub, L Tzou",,,994
tq4bpWYOcEEJ,Customer handling intermediate serverÌ¢??an architecture-led project,G Mathieson,"BT Technology Journal,",1997,995
SDS7uWO7Mj4J,Modell des langwelligen Strahlungsaustauschs und idealer Regler fÌÄå_r das GebÌÄå_udemodul Type56,C Felsmann,"Technical University of Dresden,",,996
XtNiZa9m2QwJ,Adenotonsillectomy for obstructive sleep apnoea in children,"J Lim, M McKean","Cochrane Database Syst Rev,",2003,997
z5pvdeE7CaAJ,Type checking records and variants in a natural extension of ML,D RÌÄå©my,"Proceedings of the 16th ACM SIGPLAN-SIGACT symposium on  &hellip;,",1989,998
0MU6n8A37JQJ,Naturalistic study of evaluation utilization,MC Alkin,"New Directions for Program Evaluation,",1980,999
OLqUmDD7-gIJ,Dynamics of RED [A],"D Lin, R Morris","Proceedings of SIGCOMM,",1997,1000
G7Fztq8UXBoJ,Determination of the content of uranium isotopes and isotopes of transuranium elements in spent fuel ,"V Ya, AAZ Gabeskiriya, VV MikulenokÌ¢?å_",At.,,1001
RIMXEUkCRhAJ,On the spectral gap of the M/M/N/N queue,"C Fricker, P Robert, D Tibi","Unpublished manuscript,",,1002
6R5S9wsQSOYJ,The potential for open source software in telecommunications operational support systems,"GL Bruce, JP Wittgreffe, JMM Potter, P Robson","BT Technology Journal,",2005,1003
8unPFhv3TWEJ,ConcurrentuseofB-treeswith variable-length entries,WG KellerAM,"SIGMOD Rec,",,1004
8gTV1_0L3cYJ,Hierarchical Test Generation Based on Alternative Graph Models,J Raik,,1997,1005
R1U13red9k4J,Eqmvalence properties of semantic data models for database systems,SA BORKIN,"TR-206, Laboratory of Computer Science, MIT, Cambridge, Mass, ",,1006
UOo_eXngniAJ,"Occupational stress in Nigeria police force. Ondo State University, Nigerial",EO Akinnawo,"Unpublished manuscript,",,1007
zyXyTW7sX_sJ,Reduction of the cost of erythropoietin therapy by coadministration of L-carnitine in hemodialysis  ,"D Karvadias, C Fortounas, J Tsouchnikas, T  ","EDTA 32nd Congress, Athens, Greece,",,1008
L4k3lAWc-JgJ,Mining Insurance Data at Swiss Life,"JU Kietz, U Reimer, M Staudt","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1997,1009
n3DMdfviaSUJ,The state of coral reef ecosystems of the United States and Pacific Freely Associated States: 2002.  ,"DD Turgeon, RG Asch, BD Causey, RE Dodge, W Jaap,  ",,,1010
vtzZpYMljXsJ,andR. Ladin. Organizinglongrunning activities with triggers and transactions,"U Dayal, M Hsu","Proceedings of the ACM SIGMOD,",,1011
rtnOJdjZ1yYJ,&quot; Ping-Pong&quot; Gaze in Severe Monoamine Oxidase Inhibitor Toxicity,"JL Erich, RD Shih, RE O'Connor","JOURNAL OF EMERGENCY MEDICINE,",1995,1012
wi44y5qXrSoJ,Towards a formal representation of device functionality,JC Bonnet,,,1013
0VkVsSsdtBAJ,Coordinating Mechanisms in Care Provider Groups: Relational Coordination as a Mediator and Input  ,JH Gittell,"MANAGEMENT SCIENCE,",2002,1014
poAXRC5I_kQJ,Single dose oral diclofenac for postoperative pain,"J Barden, J Edwards, R Moore, H McQuay","Cochrane Database Syst Rev,",2004,1015
nkZCOasEJyMJ,The Architecture of Simplicity,D Miller,"The Academy of Management Review,",1993,1016
q_BIBkr7IL8J,"The Rufus System: Information OrganizationforSemi-Structured Data,&quot;","K Shoens, A Luniewski, P Schwarz, J Stamos, J  ","Proceedings of the 19th VLDB Conference, Ireland,",,1017
RG2aEx3ey7EJ,"Mission to planet Earth/Earth Observing System reference handbook, NASA Goddard Space Flight Center, ","G Asrar, R Greenstone","MD,",,1018
B_uVZljb32AJ,Strategic Informative Advertising in a TV-Advertising Duopoly,"T Nilssen, L SÌÄåürgard",,2000,1019
sMFF0GBliMQJ,Model for Delay Faults Based on Paths,GL Smith,"Proc. Int. Test Conf,",,1020
url:http://ieeexplore.ieee.org/iel3/3990/11481/00547880.pdf%3Farnumber%3D547880,Real-Time Resource Tracking System For Semiconductor Industry,ieeexplore.ieee.org,,,1021
4h1ww_ndfmoJ,A Model and a Method for Logical Data Base Design,"A Flory, J Kouloumdjian","VLDB,",,1022
f-_QuS8Wg2oJ,Fairness and Social Risk I: Unaggregated Analyses,"PC Fishburn, RK Sarin","Management Science,",1994,1023
gcoLSYEk0HIJ,Coalescing in Temporal Databases,"MH Bijhlen, RT Snodgrass, MD Soo",,,1024
08QU6QNmo98J,A methodology for eliciting product and process expert knowledge in immersive virtual environments,"JM Ritchie, JEL Simmons, RG Dewar, ID Carpenter","&hellip;  International Conference on Management of Engineering and  &hellip;,",,1025
H3Tcub0JEEgJ,MMDB Reloading Algorithms,"L Gruenwald, MH Eich","Proc. ACM SIGMOD Int&#39;l Conf. Management of Data,",,1026
0JuPgyHoQIEJ,High performance Fortran: status report,GL Steele Jr,"ACM SIGPLAN Notices,",1993,1027
HCQSN0M-6mcJ,A New Generation of Spoken Dialogue Systems: Results and Lessons from the SUNDIAL Project,J Peckham,"Proc. Eurospeech,",,1028
i3B8IoZiDnoJ,Introduction to Lie Algebras and Representation Theory [M],JE Humphreys,"New York,",,1029
GeKvdBYmsD0J,"an d Kroo, I.(1993)&quot; A Rolefo rGenetic AlgorithmsinaPreliminary DesignEnvironment,&quot;",P Gage,Proceedings fromtheAIAACF D,,1030
url:http://www.springerlink.com/index/Q56023QG66630X13.pdf,Conversational Video Over IP,A Auchterlonie,"BT Technology Journal,",2004,1031
08jaHUIOhQ4J,"Under pressure of publicity and the subsequent reactions from animal welfare, environmental and  ",NRC Handelsblad,"See,",,1032
oehMZf9BDZoJ,Tool Support for Object-Oriented Patterns,"G Florijn, M Meijers, P Van Winsen","LECTURE NOTES IN COMPUTER SCIENCE,",1997,1033
rgJU30QjbhkJ,Converting Relational to Object-Oriented Databases,J Fong,"SIGMOD Record,",1997,1034
url:http://doi.wiley.com/10.1002/ace.7705,Policy for Older Adult Education,"DA Peterson, H Masunaga","New Directions for Adult and Continuing Education,",1998,1035
DFXKdJJtFsQJ,Active storage for large-scale data mining and multimedia applications,"E Riedel, G Gibson, C Faloutsos",,,1036
pVr5DUd7-6wJ,Chord: A Sclable Peerto-peer Lookup Service for Internet Applications,"I Stoica, R Morris, D Karger, MF Kaashoek, H  ",Proc. ACM,,1037
QlSaVou-Zt4J,Fast Algorithms for Mining Association Rules. 20th Int,"R Agrawal, R Skrikant","Conf. on Very Large Databases (VLDB). Santiago de Chile, ",,1038
ku3xN0cfXI4J,Minimization of non-linear approximation functions,K Madsen,,1985,1039
Xap2YVYzYrQJ,An Aristotelian Understanding of Object-Oriented Programming,D Rayside,,,1040
_2mjU5KqoVgJ,PangA (1998) Exploratory mining and pruning optimizations of constrained association rules,"R Ng, LVS Lakshmanan, J Han",Proc. ACM SIGMOD International Conference on Management of ,,1041
H3lIzafD9CwJ,Making Explicit the Development Toward the Scholarship of Teaching,"CB Weston, L McAlpine","New Directions for Teaching and Learning,",2001,1042
G3QWq2T08SEJ,Analysis of SIGMODs Co-Authorship Graph,M NascimentoÌ¢?å_,"SIGMOD RECORD,",2003,1043
axQOpycfxqQJ,Expiration and partially materialized views,"W Labio, H Garcia-Molina","Technical report, Stanford University, 1997. Available at http:-",,1044
4oO57raSQYIJ,Simplified mass production process for 16% efficiency multi-crystalline silicon solar cells,"S Arimoto, M Nakatani, Y Nishimoto, H Morikawa, M  ","Proc. 28th IEEE PVSC, Anchorage,",,1045
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D290595%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,Report on the 5th International Workshop on Knowledge Representation Meets Databases (KRDBÌ¢??98),A Borgida,"SIGMOD Record,",1998,1046
w_x_rK2b9TgJ,Endoscopic retrograde cholangiopancreatography in gallstone-associated acute pancreatitis,"K Ayub, R Imada, J Slavin","Cochrane Database Syst Rev,",2004,1047
laR_TyhtfCIJ,Predicting real outcomes: When heuristics are as smart as statistical models,A Todorov,"Unpublished manuscript,",,1048
3ojH_EB68dwJ,"Seven Lightnings Over CaliforniaÌ¢??Don Daniel, a Palero in Los AngelesÌ¢??A Video Documentary","D Erwan, P GÌÄå©rard","Santa Barbara, University of California,",,1049
ocMei44VmuEJ,Transmission of blood-bourne pathogens during sports: risk and prevention.,"E Mast, R Goodman, W Bond","Journal of Emergency Medicine,",1995,1050
zShkythuo9EJ,Field Measurement of the Acoustic Nonlinearity Parameter in Turbine Blades,"YL Hinton, VT Directorate, JK Na, WT Yost, GL  ",,,1051
mHMKP-Ga6-AJ,Practical theism and pantheism: two approaches to God in the thought of William James.,MG Bradford,,1977,1052
0V8E_ij2SpYJ,Real-time numerical peak detector.,"F Blais, M Rioux","SIGNAL PROC.,",1986,1053
tR2dDfl72msJ,Hierarchical Techniques for Visibility Computations,J Bittner,,2002,1054
J1NUWC8Rq04J,Algorithms for cochannel source separation and signal estimation,A Mathur,,1996,1055
gfDHjcaMlAYJ,Integrating Technology &amp; Human Decisions: Global Bridges into the 21st Century,"R Lahdelma, P Salminen, J Hokkanen, DK Despotis, C ","New Technologies Publications, Athens,",,1056
url:http://www.csa.com/partners/viewrecord.php%3Frequester%3Dgs%26collection%3DTRD%26recid%3DN9210538AH,Scanning tunneling microscopy of polysialic acid(Abstract Only),"L HAIKKILA, JPS AALTO, LJ PELLINIEMI, R LAIHO, J  ","Oulu Univ, Proceedings of the 25 th Annual Conference of the &hellip;,",1991,1057
 ,Significance in Scale Space,"F Godtliebsen, JS Marron, P Chaudhuri","Unpublished manuscript,",1999,1058
9jagQPCUtZoJ,Top 20 Montana,"M Links, NY Times, SC StatutesÌ¢?å_",,,1059
GRuwOl51AcIJ,Designing an Efficient and Scalable Server-side Asynchrony Model for CORBA,"D Brunsch, DC Schmidt",,,1060
LGmmein2NdUJ,Test development for communication protocols: towards automation,"R Dssouli, K Saleh, E Aboulhamid, A En-Nouaary, C  ","Computer Networks,",1999,1061
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D1007716%26type%3Dpdf,ITQS: An Integrated Transport Query System,"B Huang, Z Huang, H Li, D Lin, H Lu, Y Song","Proceedings of the 2004 ACM SIGMOD international conference  &hellip;,",2004,1062
iCcdSaycmk0J,The Canvass News Video Composition,"G Ahanger, TDC Little","online demonstration, http://hulk. bu. edu/projects/fap/demo &hellip;,",,1063
PTXXALnzCrQJ,Double Sylvester sums for subresultants and multi-Schur functions,"A Lascoux, P Pragacz",,,1064
5n7uXFVS5AAJ,Physician-Patient Communication in the Urban Clinical Setting,DM Levine,"BULLETIN-NEW YORK ACADEMY OF MEDICINE,",1994,1065
UTq9K8nmtMAJ,"Micelles, membranes, microemulsions, and monolayers",WM Gelbart,,1995,1066
nXXsBK34SZQJ,Eigenstructure assignment in descriptor linear systems by output feedback,GR Duan,"IEE Proceedings Part D: Control Theory and Applications,",,1067
THE9S0BAQ5gJ,"Perception, imagery, and science",RN Shepard,,1999,1068
WoWfV5bBp2kJ,When discourse becomes syntax: noun phrases and clauses as emergent syntactic units in Finnish  ,ML Helasvuo,,1997,1069
Lq48Fn_Xy08J,Strategic Change: The Influence of Managerial Characteristics and Organizational Growth,W Boeker,"The Academy of Management Journal,",1997,1070
RUkWuVvlwMIJ,Emergency nurses' perceptions of critical incidents and stress debriefing,"C Burns, NJ Harm","JOURNAL OF EMERGENCY NURSING,",1993,1071
g2x6-2G3hj0J,Spatial and temporal variabilities of phytoplankton community structure in the northern North  ,"Y Obayashi, E Tanoue, K Suzuki, N Handa, Y Nojiri","Deep-Sea Research I,",2001,1072
AaTvigmNyAcJ,Semantic and schematic similarities between database objects: A context-based approach,"V Kashayp, A Sheth","The VLDB journal,",,1073
gUXM_DcWzX0J,Strategies and Resources for Enhancing Mentoring Relationships.,LM Golian,"New Directions for Adult and Continuing Education,",1995,1074
skrWzZpwK-QJ,First Lakhtin Memorial Lecture: International Federation for Heat Treatment and Surface Engineering,T Bell,"Zurich, Switzerland",,1075
S-YfhoyMGLoJ,Converging on OOAD agreement,V Ohnjec,"APPLICATION DEVELOPMENT TRENDS,",1997,1076
RR7eZMq0fNcJ,The Impact of CASE on IS Professionals' Work and Motivation to Use CASE,"J Iivari, J Maansaari",,,1077
suOdBUOBaNEJ,General motivational effects of dissonance arousal,"MS Pallak, TS Pittman","Journal of Personality and Social Psychology,",1972,1078
_KH0dNRDurQJ,Bitwidth Aware Global Register Allocation,"S Tallam, R Gupta",,,1079
lW1mG77k6_UJ,Anticoagulants for preventing recurrence following presumed non-cardioembolic ischaemic stroke or  ,"P Sandercock, O Mielke, M Liu, C Counsell","Cochrane Database Syst Rev,",2003,1080
uYuWwBgWc3UJ,Fluid-rock interaction and carbon recycling in subduction zones: evidence from stable isotope  ,"GE BEBOUT, MD BARTON","Proc 28th Int Geol Conf, Abstract,",,1081
url:http://www.ncbi.nlm.nih.gov/entrez/query.fcgi%3Fcmd%3DRetrieve%26db%3DPubMed%26list_uids%3D15654734%26dopt%3DCitation,"Computational studies on the cyclizations of enediynes, enyne-allenes, and related polyunsaturated  ","PR Schreiner, A Navarro-Vazquez, M Prall","Acc Chem Res,",2005,1082
4Mau9U9Dv2UJ,"Otitis media in dairy calves, a preliminary case report","GM DeChant, GA Donovan","28th Ann. Conv. Proc. Am. Assoc. Bov. Pract,",,1083
yGEaTajCLAgJ,Labour shortage aired at World IT Congress,P Thibodeau,"Computerworld,",,1084
LpUJhzsj7pIJ,Correct systems: building a business process solution,"WML Holcombe, F Ipate",,1998,1085
YG9Js5mJbV0J,Guest Editor's Introduction,WC Newstetter,Journal of the Learning,,1086
url:http://ieeexplore.ieee.org/iel5/9217/29235/01320033.pdf%3Farnumber%3D1320033,Substructure Clustering on Sequential 3d Object Datasets,"Z Tan, AKH Tung","Data Engineering, 2004. Proceedings. 20th International ",,1087
mB8W6em6zi8J,Mohamed Zc aÌÄåøt. Querying Shapes of Histories,"Rb akkesh Agrawal, G Psaila, EL Wimmers",,,1088
NTNnyuJeDZEJ,Formal methods are a surrogate for a more serious software concern,R Glass,"IEEE Computer,",,1089
url:http://www.csa.com/partners/viewrecord.php%3Frequester%3Dgs%26collection%3DTRD%26recid%3DN9210530AH,In (0. 5) 3 Ga (0. 47) As/InP SAM avalanche photodiodes grown by gas source MBE(Abstract Only),"G ZHANG, T HAKKARAINEN, K TAPPURA, K RAKENNUS, H  ","Oulu Univ, Proceedings of the 25 th Annual Conference of the &hellip;,",1991,1090
AtNszRbUN_gJ,PATHFINDER: A Pattern-Based Packet Classier,"ML Bailey, B Gopal, MA Pagels, LL Peterson, P  ",Proc.,,1091
ATcel4JE-4sJ,W and Neal WE J 1970,"NW Grimes, JM Pearson, R Fane","Phil. Mag,",,1092
3LSKofKlSz0J,Progression of Coronary Artery Calcification: A Pilot Study,"JE Maher, LF Bielak, JA Raz, PF Sheedy, RS  ","MAYO CLINIC PROCEEDINGS,",1999,1093
weqDiTjh6vEJ,1 995,GA Abbink,A SAMÌ¢??CGE demonstration model for,,1094
Y2XmHdNrdbEJ,Undergraduate Curriculum 2000.,A Levine,"New Directions for Higher Education,",1989,1095
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D1099711%26type%3Dpdf,A Novel Approach for Privacy-Preserving Video Sharing,"J Fan, H Luo, MS Hacid, E Bertino","Proceedings of the 14th ACM international conference on  &hellip;,",2005,1096
9qYCh56nCtMJ,A comparison of approaches to the evolution of homogeneous multi-robot teams,M Quinn,,,1097
wjtI1akpFf0J,"A novel DNA polymerase in the hyperthermophilic archaeon, Pyrococcus furiosus: gene cloning,  ","T Uemori, Y Sato, I Kato, H Doi, Y Ishino","Genes to Cells,",1997,1098
O_Ec3ogeWnsJ,Investigation of the three-dimensional neutron field in the IGR core,"AP VasilÌ¢??ev, NV Gorin, YZ KandievÌ¢?å_",At.,,1099
w1eiYT5BxC4J,A System for Automatic Personalized Tracking of Scientific Literature on the Web,"KD Bollacker, S Lawrence, CL Giles",,,1100
c60sKv5NoSoJ,How state regulatory agencies address privatization: The case of wastewater treatment,"JG Heilman, GW Johnson","New Directions for Program Evaluation,",1991,1101
gCbzy6m01RQJ,Semi-Structured Data Extraction from Heterogeneous Sources,"X Gao, L Sterling",,,1102
3pMR76SCtrYJ,"Swarni (1993), Mining Association Rules between Set of Items in Large Databases",I Agrawal,"Proc. Of the ACM SIGMOD Conference of Management of Data,",,1103
url:http://www.springerlink.com/index/W80L2810707344M1.pdf,Special issue editorial,K Ramamohanarao,"The VLDB Journal The International Journal on Very Large  &hellip;,",1994,1104
DNVHTz7tMywJ,S3: Similarity Search in CAD Database Systems,"S Berchtold, HP Kriegel",,,1105
 ,User-level operating system extensions based on system call interposition,A Alexandrov,,1999,1106
uhVMJKSKKakJ,Mineral paragenetic sequence of the lead-zinc-copper-cobalt-nickel ores of the southeast Missouri  ,RD Hagni,"&hellip;  paragenesis: Athens, Greece, Theophrastus Publications SA,",,1107
0F-g0PJ3z3UJ,Electronic replacements for head-per-track drums or disks,AV POHM,"IEEE Computer,",,1108
q9P9vX8fjVoJ,"Measures of three levels of social support: Resources, behaviors, and feelings",A Vaux,"Unpublished manuscript,",,1109
Hh77kxhcx3IJ,Define Ì¢??re-engineerÌ¢??,RL Manganelli,"Computerworld,",,1110
oTBW6Du0J3wJ,VOLTAGE COLLAPSE AND TRANSIENT ENERGY FUNCTION ANALYSES OF AC/DC SYSTEMS,CA Canizares,,1991,1111
mDXzeJMSAckJ,A new multirate LQ optimal regulator for linear time-invariant systems and its stability robustness  ,KG Arvanitis,"APPLIED MATHEMATICS AND COMPUTER SCIENCE,",1998,1112
2r4nQqSEOQwJ,Recentering Learning: An Interdisciplinary Approach to Academic and Student Affairs,R Guarasci,"New Directions for Higher Education,",2001,1113
8Ha8o2X9l2IJ,JavaScript 1.2 Addison-Wesley,S Mintert,,,1114
BXtxq-cAS80J,Thematically Organized Social Studies: A Solution to the Primary Education Dilemma. Pull-Out Feature ,P Nickell,"Social Studies and the Young Learner,",1995,1115
url:http://www.csa.com/partners/viewrecord.php%3Frequester%3Dgs%26collection%3DTRD%26recid%3DN9210555AH,Examples of VLF emissions recorded in the auroral zone(Abstract Only),"J MANNINEN, T TURUNEN, T TURUNEN","Proceedings of the 25 th Annual Conference of the Finnish  &hellip;,",1991,1116
IPmdNpVpVWcJ,Ordinary People on an Extraordinary Adventure.,S Steiner,"Social Studies and the Young Learner,",1996,1117
iwo70ngJJXUJ,Toward a Theory of Organizational Creativity,"RW Woodman, JE Sawyer, RW Griffin","The Academy of Management Review,",1993,1118
wn2O9TxUdKkJ,The effects of atmospheric turbulence on the interference of the direct and ground reflected waves,"V Ostashev, S Clifford, R Lataitis, P Blanc-Benon, ","Proc. 29th Inter-Noise, Nice,",,1119
a2wqpKma5J4J,Chain : Operator Scheduling for Memory Minimization in Data Stream Systems,"B Babcock, S Babu, M Datar, R Motwani","SIGMOD Conference,",2003,1120
XFVOpAiN2NwJ,Mortality Factors in a Cyclic Vole Population,"K Norrdahl, E Korpimaki","Proceedings: Biological Sciences,",1995,1121
OVfbXdgb2osJ,Extendible hashing for concurrent operations and distributed data,CS Ellis,"Proceedings of the 2nd ACM SIGACT-SIGMOD symposium on  &hellip;,",1983,1122
cUc33JVbnaMJ,Hepatic artery in liver transplantation,"S Todo, L Makowka, AG Tzakis, JW Marsh Jr, FM  ","Transplant Proc,",1987,1123
66ETi80OPHIJ,"Kosower, E. M",NR Intermediates,"Acc. Chem. Res,",,1124
SObDlwdlju0J,Occupational Infectious Disease Exposures in EMS Personnel,"E Reed, MR Daya, J Jui, K Grellman, L Gerber, MO  ","Journal of Emergency Medicine,",1993,1125
DVosiDS4TloJ,A Vision Driven Automatic Assembly Unit: Robust Bin Picking,"G Bachler, M Berger, R Rohrer, S Scherer, A Pinz",,,1126
APeW8vP_8xkJ,Specifying and Enforcing Intertask Dependencies,"PCAMP Singh, A Sheth, M Rusinkiewicz","Proc. of the 19th VLDB, Dublin, Ireland,",,1127
Ov7qPfAqIQEJ,Preparing Teachers for Urban Schools: Lessons from Thirty Years of School Reform.,L Weiner,,1993,1128
aPhjdmv_CBIJ,Blending finite-difference and vortex methods for incompressible flow simulations,"ML Ould Sahili, GH Cottet, M El Hamraoui",,,1129
cwAgE7E49GQJ,Modelling Security Policies in Hypermedia and Web-Based Applications,"P Diaz, I Aedo, F Panetsos","LECTURE NOTES IN COMPUTER SCIENCE,",2001,1130
9esu1fHUJwwJ,"Mining Assocation Rules Between Sets of Items in Large Datatabes, ACM SIGMOD","R Agrawal, T Imielinski, A Suami","Conference on Management of Data, Washington, DC,",,1131
PLjMiTrxVxkJ,Transition to adulthood in Italy,F Ongaro,"Transition to adulthood,",,1132
4DV7r4cK1j8J,An Index Structure for Efficient Reverse Nearest Neighbor Queries,"C Yang, KI Lin",,,1133
m5TPCXiVi4gJ,Self-monitoring as a determinant of self-disclosure reciprocity during the acquaintance process,"DR Shaffer, JE Smith, M Tomarelli","Journal of Personality and Social Psychology,",,1134
Des-PSLVQi4J,"Welfare Time Limits: State Policies, Implementation, and Effects on Families.","D Bloom, M Farrell, B Fink",,2002,1135
v5pKl7EP4NIJ,Casinos hit jackpot with customer data,K Nash,"Computerworld,",,1136
QuIt6GiGNUcJ,The yin and yang of progress in social psychology: Seven koan,WJ McGuire,"Journal of Personality and Social Psychology,",1973,1137
dvjQs4Y6H_gJ,Preliminary research findings,"GB Teague, C Macias",,1990,1138
JiDVe9V5VhsJ,Electricity Restructuring: Deregulation or Reregulation?,"S Borenstein, J Bushnell",,,1139
QwHi3DPKo_AJ,Interventions for varicosities and leg oedema in pregnancy,"GL Young, D Jewell","Cochrane Database Syst Rev,",2000,1140
duHyv8ysMIAJ,Evaluation of the effectiveness of pingers to reduce incidental entanglement of harbor porpoise in a ,"JL Laake, PJ Gearin, ME Gosho, RL DeLong","MD,",,1141
ae7u4oyTu80J,Realm-based Spatial Data Types: The ROSE Algebra [J],"R Cuting, M Schnider","VLDB Journal,",,1142
JbjklV9sqTEJ,When Choice is Demotivating: Can One Desire Too Much of a Good Thing?,"SS Iyengar, MR Lepper","JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,",2000,1143
n9srhpr6YGUJ,Duplicate Elimination in the Advanced Information Managment Prototype,"G Saake, V Linnemann, P Pistor, L Wegner, G  ","Int. Conf. on VLDB,(Amsterdam,",,1144
ga3PAEII_KcJ,A uniqueness result concerning a robust regularized least-squares solution,"AH Sayed, H Chen",submitted for,,1145
jksAN1GfbR8J,Formation of radiocative iodine emission at nuclear power plants with RBMK-1000 reactors,"VG Kritskii, NI Ampelogova, VI KrupennikovaÌ¢?å_",At.,,1146
RTHoDofpcw4J,Groupware: LetÌ¢??s work Together,"L Lindop, T Relph-Knight, K Taylor, A Eager, G  ","PC Magazine, August,",,1147
j_PH0C-E4gsJ,Marketers report high ROI with paid listings,D Cotriss,,,1148
3Wn_b-YV9DsJ,"Writing Secure Code, 2nd ed., ser. Best Practices","M Howard, D LeBlanc",,2003,1149
FiV4INzElo8J,In press.&quot; Keeping it living&quot;: indigenous plant management on the Northwest Coast,"D Deur, NJ Turner","University of Washington Press, Seattle, Washington,",,1150
Qn0bUAsaGRsJ,Characterizing Flows in Large Wireless Data Networks,"X Meng, S Wong, Y Yuan, S Lu",Proceedings of ACM,,1151
AwWHozfiuK4J,Scheduling data transfers in networks with pre-emption,"HA CHOI, SL HAKIMI",Proceedings of the 23rd Allerton Conference on Communication,,1152
OI6s-rhMr4AJ,"Correlates of Adolescent Pregnancy in La Paz, Bolivia: Findings from a Quantitative-Qualitative  ","V Lipovsek, AM Karim, EZ Gutierrez, RJ Magnani","ADOLESCENCE-SAN DIEGO-,",2002,1153
vqzsB9PS9e8J,Deformation and fracture in amorphous solids,ML Falk,,1998,1154
url:http://portal.acm.org/citation.cfm%3Fid%3D971697.602301%26dl%3DGUIDE%26dl%3DACM%26idx%3D971697%26part%3Dperiodical%26WantType%3Dperiodical%26title%3DACM%2520SIGMOD%2520Record%26CFID%3D11111111%26CFTOKEN%3D2222222,"Relational algebras, logic, and functional programming",PAV Hall,"ACM SIGMOD Record,",1984,1155
HrUoWDhBIMEJ,Hessenberg and Schur output normal pair representations,"A Mullhaupt, KS Riedel",submitted for,,1156
hXmHc1q2-oMJ,School of Library &amp; Information Science,N Kwon,,1987,1157
UYZuYVgXxrUJ,Riverine Acoustic Sensors System (RASS) Demonstration,"RL Smith, TJ Walter","MTI 93TR38 Report for NSWC Demonstration, September,",,1158
